Category,#,Company,Contact Person,Role,Phone,Email,Notes
AR/VR,2,Irusu Technologies,—,—,Via website,Via irusu.co.in,Hyderabad; VR headsets
AR/VR,3,AjnaLens,Pankaj Raut,Co-Founder & CEO,—,Via ajnalens.com,Mumbai; MR headsets
IoT & Smart Equipment,1,Spektacom (Power Bat),Sathish Potluri,Co-Founder,—,Via spektacom.com,Smart cricket bat sensor
IoT & Smart Equipment,2,VVDN Technologies,Vivek Bansal,Founder & MD,—,Via vvdntech.com,Gurugram; IoT engineering
IoT & Smart Equipment,3,Tata Elxsi,Manoj Raghavan,MD & CEO,—,Via tataelxsi.com,Bengaluru; Listed: NSE: TATAELXSI
Broadcasters & OTT,1,JioStar (JioHotstar + Star Sports),—,—,—,Via jiohotstar.com,Mumbai; 100M+ paid subs
Broadcasters & OTT,2,Sony Sports Network,—,—,—,Via sonyliv.com,Mumbai
Broadcasters & OTT,3,FanCode,—,—,—,Via fancode.com,Part of Dream Sports
Broadcasters & OTT,4,SportVot,Siddhant Jain,Founder & CEO,—,Via sportvot.com,Grassroots streaming
Sports Marketing & PR,1,IOS Sports & Entertainment,Neerav Tomar,Founder & MD,"011 4654 4289, 011 4654 4228",info@iosindia.com,New Delhi: Saket
Sports Marketing & PR,2,Cornerstone Sport,Bunty Sajdeh,Founder & MD,+91 22 2086 1134/35/36,info@cornerstone.in,Mumbai: Bandra West
Sports Marketing & PR,3,JSW Sports,Divyanshu Singh,CEO,+91 022-4286 1000,partnerships@jsw.in,Appointed Aug 2025
Sports Marketing & PR,3,JSW Sports,Mustafa Ghouse,Director (Former CEO),+91 022-4286 3000,partnerships@jsw.in,Now also at Centre Court Capital
Sports Marketing & PR,3,JSW Sports,Gaurav Kalra,Chief Content & Marketing Officer,—,partnerships@jsw.in,Appointed Jul 2025
Sports Marketing & PR,4,Baseline Ventures,Tuhin Mishra,Founder & MD,+91 9820000451,partnerships@baselineventures.com,Multi-city offices
Sports Marketing & PR,4,Baseline Ventures,—,Gurugram Office,+91 9811490554,careers@baselineventures.com,Bengaluru: +91 9930355895
Event Management,1,RISE Worldwide,Nikhil Bardia,Head,022-35662300,RISE.Contact@riseworldwide.in,"ONE BKC, Mumbai; RIL subsidiary"
Event Management,2,Mashal Sports (Pro Kabaddi),Anand Mahindra,Founder,—,Via prokabaddi.com,Mumbai: Lower Parel
Event Management,2,Mashal Sports (Pro Kabaddi),Anupam Goswami,CEO / League Commissioner,—,Via prokabaddi.com,"Star House, Mumbai"
Event Management,3,Procam International,Anil Singh,Founder & MD,—,Via procam.in,TCS Mumbai Marathon organizer
Event Management,4,BookMyShow,Ashish Hemrajani,Co-Founder & CEO,—,Via bookmyshow.com,Mumbai; event ticketing
Sponsorship & Branding,1,GroupM ESP Properties,Prasanth Kumar,CEO (GroupM South Asia),—,Via groupm.com,Mumbai
Sponsorship & Branding,1,GroupM ESP Properties,Vinit Karnik,Head - Sports Esports & Ent.,—,Via groupm.com,Sporting Nation report publisher
Sponsorship & Branding,2,ITW Consulting,—,—,—,Via itwconsulting.in,Mumbai; sponsorship strategy
Sponsorship & Branding,3,Madison World,Sam Balsara,Chairman & MD,—,Via madisonworld.com,Mumbai
Sports Medicine & Physio,1,ABTP,Abhinav Bindra,Founder,—,Via abtp.co.in,Chandigarh / Bengaluru
Sports Medicine & Physio,2,Mission Health,Dr. Mishal Shah,Founder,—,Via missionhealth.co.in,Ahmedabad; robotics-aided rehab
Sports Medicine & Physio,3,Cure.fit (cult.fit),Mukesh Bansal,Co-Founder,1800-572-6303,hello@cult.fit,Bengaluru HSR Layout
Sports Medicine & Physio,4,SPARRC Institute,Dr. Kannan Pugazhendi,Founder & MD,—,Via sparrc.com,Chennai
Performance & Recovery Tech,1,Ultrahuman,Mohit Kumar,Founder & CEO,—,support@ultrahuman.com,Bengaluru
Performance & Recovery Tech,2,ForHealth (Rehab Buddy),—,—,—,Via forhealth.in,Pune; robotic physio
Performance & Recovery Tech,3,Resolve360,—,—,—,Via resolve360.io,Bengaluru; AI + AR physiotherapy
Performance & Recovery Tech,4,HealthifyMe,Tushar Vashisht,Co-Founder & CEO,—,Via healthifyme.com,Bengaluru
Performance & Recovery Tech,5,Dozee,Mudit Dandwate,Co-Founder & CEO,—,Via dozee.io,Bengaluru
Nutrition & Supplements,1,HealthKart / MuscleBlaze,Sameer Maheshwari,Founder & CEO,+91 85277 32632,info@muscleblaze.com,Gurugram; 200+ stores
Nutrition & Supplements,1,HealthKart / MuscleBlaze,—,Grievance,—,grievance.redressal@brightlifecare.com,Bright Lifecare Pvt Ltd
Nutrition & Supplements,2,Nutrabay,Shreyans Jain,Co-Founder & Executive Director,—,friends@nutrabay.com,New Delhi: Okhla Industrial Area
Nutrition & Supplements,3,Fast&Up,Vijayaraghavan Venugopal,Co-Founder & CEO,1800-120-9656,customercare@fastandup.in,Mumbai: Andheri West
Nutrition & Supplements,4,Steadfast Nutrition,Aman Puri,Founder,—,Via steadfastnutrition.in,New Delhi
Nutrition & Supplements,5,OZiva,Aarti Gill,Co-Founder & CEO,—,Via oziva.in,Mumbai
Nutrition & Supplements,6,Kapiva,Ameve Sharma,Co-Founder & CEO,—,Via kapiva.in,Mumbai
Biomechanics & Research,1,NSNIS Patiala,Director General (SAI appointed),Director,—,Via nsnis.org,Asia's largest sports institute
Biomechanics & Research,2,SAI (Sports Authority of India),—,—,—,Via sportsauthorityofindia.nic.in,Govt of India
Biomechanics & Research,3,ABTP Sports Lab,Abhinav Bindra,Founder,—,Via abtp.co.in,Chandigarh / Bengaluru
Biomechanics & Research,4,Center for Sports Science (CSS),—,—,—,Via css.edu.in,Chennai
